car,label,charges
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_304.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_387.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_382.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_234.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_277.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_11.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_161.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_190.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_24.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_347.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_296.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_222.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_394.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_328.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_290.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_97.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_59.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_381.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_281.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_310.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_343.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_134.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_95.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_9.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_303.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_312.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_398.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_160.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_172.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_271.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_330.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_377.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_159.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_254.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_277.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_117.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_324.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_109.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_143.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_187.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_329.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_6.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_291.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_130.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_72.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_368.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_121.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_240.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_154.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_213.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_323.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_207.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_101.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_225.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_138.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_336.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_402.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_294.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_179.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_104.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_46.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_208.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_114.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_178.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_313.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_379.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_227.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_391.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_20.csv
